esp_timestamp_us,rssi,i0,q0,i1,q1,i2,q2,i3,q3,i4,q4,i5,q5,i6,q6,i7,q7,i8,q8,i9,q9,i10,q10,i11,q11,i12,q12,i13,q13,i14,q14,i15,q15,i16,q16,i17,q17,i18,q18,i19,q19,i20,q20,i21,q21,i22,q22,i23,q23,i24,q24,i25,q25,i26,q26,i27,q27,i28,q28,i29,q29,i30,q30,i31,q31,i32,q32,i33,q33,i34,q34,i35,q35,i36,q36,i37,q37,i38,q38,i39,q39,i40,q40,i41,q41,i42,q42,i43,q43,i44,q44,i45,q45,i46,q46,i47,q47,i48,q48,i49,q49,i50,q50,i51,q51,i52,q52,i53,q53,i54,q54,i55,q55,i56,q56,i57,q57,i58,q58,i59,q59,i60,q60,i61,q61,i62,q62,i63,q63
1877679081,-52,0,0,-8,4,-12,4,-15,5,-17,6,-19,6,-19,6,-19,6,-17,5,-16,5,-13,4,-10,4,-7,4,-4,3,0,3,3,2,6,2,9,2,11,1,13,1,14,0,15,0,15,-1,15,-1,15,-2,14,-2,12,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-9,7,-9,7,-8,5,-8,4,-7,3,-5,1,-4,-1,-2,-2,1,-4,3,-5,5,-6,7,-7,9,-8,11,-9,12,-9,13,-10,13,-9,13,-9,12,-8,11,-7,9,-5,7,-4,3,-2,0,0
1877781481,-52,0,0,6,6,7,10,9,13,10,14,10,16,10,17,10,16,9,15,8,13,7,11,7,8,5,5,4,2,3,-2,1,-5,0,-8,-1,-11,-2,-13,-3,-14,-3,-15,-4,-16,-5,-16,-5,-16,-6,-15,-6,-14,-6,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,6,8,6,8,7,7,6,5,6,4,5,2,4,0,3,-2,1,-4,-1,-6,-3,-7,-5,-9,-7,-10,-8,-11,-10,-12,-12,-12,-12,-12,-12,-11,-12,-11,-12,-9,-11,-7,-9,-5,-7,-3,-4,0,-1
1877845634,-80,0,0,2,-5,5,-6,7,-7,8,-9,10,-11,11,-13,10,-15,8,-17,5,-17,3,-19,2,-20,1,-16,-1,-14,-1,-12,0,-8,1,-6,2,-2,6,3,9,7,13,8,17,9,19,9,21,10,22,12,20,13,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,15,-6,14,-7,14,-8,13,-8,10,-9,6,-8,4,-7,1,-7,-2,-6,-5,-6,-7,-8,-8,-10,-9,-11,-11,-10,-12,-9,-12,-9,-13,-10,-14,-11,-12,-12,-11,-12,-10,-12,-8,-10,-6,-8,-5,-6,-4,-5,-2
1877883885,-52,0,0,8,-5,12,-5,15,-7,17,-6,18,-7,19,-6,19,-6,17,-5,15,-5,13,-5,10,-5,6,-5,3,-5,-1,-4,-4,-3,-7,-3,-10,-3,-12,-3,-14,-2,-15,-2,-16,-1,-16,0,-17,0,-16,1,-15,1,-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-9,8,-8,8,-8,9,-7,8,-6,7,-5,6,-3,5,-2,3,0,1,1,-2,3,-4,4,-6,5,-8,6,-10,7,-13,8,-14,8,-14,8,-15,8,-15,7,-14,7,-13,6,-11,4,-8,3,-4,1,-1,-1
1877986285,-51,0,0,-9,0,-13,-1,-16,-1,-18,-2,-19,-3,-20,-3,-19,-3,-18,-3,-16,-2,-14,-1,-11,0,-8,1,-5,2,-2,3,2,4,5,5,8,5,10,6,11,5,12,5,13,5,14,4,14,4,14,3,13,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,2,-11,1,-12,0,-11,0,-10,-1,-9,-2,-7,-2,-5,-2,-2,-3,-1,-2,3,-1,5,-1,10,-3,22,-9,7,4,14,-4,14,-3,16,-1,16,-1,14,-1,14,-1,12,0,10,0,7,0,3,0,-1,1
1878047573,-81,0,0,0,-6,2,-9,3,-11,2,-11,2,-13,2,-15,1,-16,0,-17,-2,-18,-4,-17,-4,-16,-5,-14,-5,-11,-3,-9,-1,-7,1,-5,3,-3,6,-2,9,-2,13,0,15,1,17,1,18,0,19,0,18,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,7,9,7,9,7,8,3,7,0,7,-2,6,-4,3,-6,1,-8,-1,-10,-2,-11,-2,-12,-2,-14,-2,-14,-2,-15,-2,-15,-2,-15,-1,-15,0,-14,0,-12,0,-11,0,-10,-1,-8,0,-5,0,-4,-1
1878088686,-52,0,0,2,-9,5,-13,7,-16,8,-17,9,-18,9,-18,10,-18,9,-16,7,-15,6,-13,3,-11,1,-8,-1,-6,-3,-3,-5,0,-8,2,-10,4,-11,6,-12,7,-12,8,-12,9,-12,10,-12,11,-11,11,-10,10,-9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-12,0,-12,1,-12,1,-11,2,-10,2,-8,2,-7,2,-5,2,-2,1,0,1,3,0,6,-1,8,-2,10,-2,11,-3,14,-4,15,-4,15,-5,15,-5,15,-5,14,-5,12,-4,9,-4,7,-2,3,-1,-1
1878153304,-81,0,0,-6,-1,-8,0,-11,0,-14,-1,-16,0,-18,0,-19,1,-20,4,-20,5,-17,6,-15,8,-14,7,-12,6,-9,4,-6,2,-5,0,-4,-3,-4,-8,-4,-11,-5,-14,-5,-19,-5,-22,-5,-23,-5,-23,-4,-23,-4,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-12,10,-10,10,-8,10,-5,12,-3,12,-2,8,1,5,2,3,2,1,4,0,7,0,10,-1,12,-3,12,-3,13,-2,16,-2,17,-1,17,2,16,2,15,2,14,3,12,3,9,1,6,0,5,-1,5
1878191087,-51,0,0,-3,9,-6,12,-7,15,-8,16,-9,17,-10,17,-10,17,-9,15,-8,14,-6,12,-4,10,-2,7,0,5,2,2,5,-1,7,-3,9,-5,10,-7,11,-8,11,-9,11,-10,11,-11,11,-11,10,-12,9,-11,8,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,11,0,11,0,11,-1,9,-2,8,-3,6,-3,4,-3,1,-3,-1,-2,-4,-2,-6,-1,-9,0,-11,0,-13,1,-15,2,-16,2,-16,2,-17,3,-16,2,-15,2,-13,2,-10,1,-8,1,-4,0,0
1878293487,-51,0,0,-7,-8,-9,-11,-10,-14,-11,-16,-11,-18,-11,-18,-10,-18,-9,-16,-9,-14,-8,-12,-7,-9,-6,-6,-5,-3,-4,1,-3,4,-3,7,-2,10,-2,12,-1,13,0,14,0,15,1,15,1,15,2,15,2,14,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-4,-12,-4,-11,-5,-10,-5,-9,-6,-7,-6,-5,-5,-3,-4,-1,-3,1,-2,3,0,5,2,7,3,9,5,10,6,11,8,12,9,12,9,12,9,11,9,10,9,9,8,7,7,4,4,2,2,-1,-1
